language_name;sortal_classifier;morphosyntactic_plural;continent;genus;longitude;latitude;iso_code;wals_code;glottocode
Burmese;yes;no;Asia;Burmese_Lolo;96;21;mya;brm;nucl1310
Cantonese;yes;no;Asia;Chinese;113;23;yue;cnt;yuec1235
Chantyal;yes;no;Asia;Bodic;83.41666667;28.58333333;chx;chn;chan1310
Chepang;no;no;Asia;Mahakiranti;84.75;27.66666667;cdm;cpn;chep1245
Garo;yes;no;Asia;Bodo_Garo;90.5;25.66666667;grt;gar;garo1247
Hokkien;yes;no;Asia;Chinese;118;25;nan;hok;minn1241
Hyow;yes;no;Asia;Kuki_Chin;92.41666667;22.08333333;csh;hyo;asho1236
Kayah Li (Eastern);yes;no;Asia;Karen;97.5;19;eky;kyl;east2342
Kham;yes;no;Asia;Mahakiranti;82.75;28.5;kgj;kmh;gama1251
Khumi;yes;no;Asia;Kuki_Chin;92.41666667;21.91666667;cnk;khu;khum1248
Lahu;yes;no;Asia;Burmese_Lolo;98.16666667;20;lhu;lah;lahu1253
Lai;yes;no;Asia;Kuki_Chin;93.66666667;22.66666667;cnh;lai;haka1240
Limbu;no;yes;Asia;Mahakiranti;87.75;27.16666667;lif;lim;limb1266
Magar (Syangja);no;no;Asia;Mahakiranti;83.83333333;28.08333333;mrd;msy;west2418
Mandarin;yes;no;Asia;Chinese;110;34;cmn;mnd;mand1415
Newari (Kathmandu);yes;no;Asia;Mahakiranti;85.5;27.66666667;new;new;newa1246
Lakhota;no;yes;Americas;Siouan;-101.8333333;43.83333333;lkt;lkt;lako1247
Mandan;no;no;Americas;Siouan;-102.5;46.5;mhq;mdn;mand1446
Dumo;no;no;Pacific;Western_Skou;141.3;-2.683333333;vam;dum;vani1248
Sulka;no;no;Pacific;Sulka;151.9166667;-5.083333333;sua;sul;sulk1246
Lachi;yes;no;Asia;Kadai;104.8333333;22.66666667;lbt;lch;lach1248
Thai;yes;no;Asia;Kam_Tai;101;16;tha;tha;thai1261
Takelma;no;no;Americas;Takelma;-123;42.5;tkm;tkl;take1257
Purepecha;yes;no;Americas;Tarascan;-101.6666667;19.5;tsz;pur;pure1242
Chontal (Huamelultec Oaxaca);no;yes;Americas;Tequistlatecan;-95.75;16;clo;chx;lowl1260
Tol;no;yes;Americas;Tol;-87;14.66666667;jic;tol;toll1241
Tonkawa;no;yes;Americas;Tonkawa;-96.75;30.25;tqw;ton;tonk1249
Totonac (Papantla);yes;no;Americas;Totonacan;-97.33333333;20.33333333;top;tpa;papa1238
Amele;no;no;Pacific;Madang;145.5833333;-5.25;aey;ame;amel1241
Hua;no;no;Pacific;Eastern_Highlands;145.3333333;-6.333333333;ygr;hua;yaga1260
Kate;no;no;Pacific;Finisterre_Huon;147.75;-6.5;kmg;kat;kate1253
Kewa;no;no;Pacific;Engan;143.8333333;-6.5;kew;kew;kewa1250
Kobon;no;no;Pacific;Madang;144.3333333;-5.166666667;kpw;kob;kobo1249
Koiari;no;no;Pacific;Koiarian;147.3333333;-9.5;kbk;koi;gras1249
Kombai;no;no;Asia;Awju_Dumut;140;-5.583333333;tyn;kmb;ndei1235
Korafe;no;no;Pacific;Binanderean;149.0833333;-9.05;kpr;krf;kora1294
Salt-Yui;no;no;Pacific;Chimbu;145.0333333;-6.283333333;sll;syu;salt1242
Suena;no;no;Pacific;Binanderean;147.55;-7.75;sue;sue;suen1241
Telefol;no;no;Pacific;Ok;141.75;-5;tlf;tlf;tele1256
Orejon;no;yes;Americas;Tucanoan;-72.5;-2.833333333;ore;ore;orej1242
Siona;no;yes;Americas;Tucanoan;-76.25;0.333333333;snn;sin;sion1247
Tucano;no;yes;Americas;Tucanoan;-69.16666667;0.5;tuo;tuc;tuca1252
Tuyuca;no;yes;Americas;Tucanoan;-70.08333333;0.5;tue;tuy;tuyu1244
Tunica;no;no;Americas;Tunica;-91;32.66666667;tun;tun;tuni1252
Gaviao;no;no;Americas;Monde;-62;-10.66666667;gvo;gav;gavi1246
Guarani;no;no;Americas;Tupi_Guaran_;-56;-26;gug;gua;para1311
Munduruku;no;no;Americas;Munduruku;-58;-7;myu;muu;mund1330
Finnish;no;yes;Europe;Finnic;25;62;fin;fin;finn1318
Hungarian;yes;yes;Europe;Ugric;20;47;hun;hun;hung1274
Komi-Zyrian;no;yes;Europe;Permic;55;65;kpv;kzy;komi1268
Mordvin (Erzya);no;yes;Europe;Mordvin;45.5;53;myv;moe;erzy1239
Nenets;no;yes;Asia;Samoyedic;72;69;yrk;nen;nene1249
Luiseno;no;yes;Americas;Takic;-117.1666667;33.33333333;lui;lui;luis1253
Nahuatl (Tetelcingo);no;no;Americas;Aztecan;-99;19.66666667;nhg;nht;tete1251
O'odham;no;yes;Americas;Tepiman;-112;32;ood;ood;toho1245
Paiute (Northern);no;yes;Americas;Numic;-118;42;pao;pno;nort2954
Paiute (Southern);no;yes;Americas;Numic;-113.3333333;37.83333333;ute;put;utes1238
Pima Bajo;no;yes;Americas;Tepiman;-111;29;pia;pba;pima1248
Pipil;no;yes;Americas;Aztecan;-89.58333333;13.83333333;ppl;pip;pipi1250
Tepehuan (Southeastern);no;no;Americas;Tepiman;-104.5;23;stp;tps;sout2976
Waorani;no;no;Americas;Waorani;-76.5;-1;auc;wao;waor1240
Wappo;no;no;Americas;Wappo;-122.5;38.5;wao;wap;wapp1239
Washo;no;yes;Americas;Washo;-120;39.25;was;was;wash1253
Konua;no;no;Pacific;West_Bougainville;154.8333333;-5.833333333;kyx;knu;rapo1238
Abun;yes;no;Asia;North_Central_Birds_Head;132.5;-0.5;kgr;abu;abun1252
Hatam;yes;no;Asia;Hatam;134;-1;had;hat;hata1243
Maybrat;yes;no;Asia;North_Central_Birds_Head;132.5;-1.333333333;ayz;may;maib1239
Tehit;yes;no;Asia;West_Birds_Head;132;-1.5;kps;tht;tehi1237
Tidore;yes;no;Asia;North_Halmaheran;127.5;0.75;tvo;tid;tido1248
Sanuma;no;no;Americas;Yanomam;-64.66666667;4.5;xsu;snm;sanu1240
Yuchi;no;no;Americas;Yuchi;-86.75;35.75;yuc;yuc;yuch1247
Yukaghir (Kolyma);no;yes;Asia;Yukaghir;150.8333333;65.75;yux;yko;sout2750
Arabela;no;no;Americas;Zaparoan;-75.16666667;-2;arl;arb;arab1268
Zuni;no;yes;Americas;Zuni;-108.8333333;35.08333333;zun;zun;zuni1245
